[2025-06-25 12:47 AM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-25 12:47 AM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-25 12:47 AM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-25 12:47 AM +07] UserID: Unknown, Action: Failed Login, Details: Failed login attempt with username: hoainam1234
[2025-06-26 02:54 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 02:55 PM +07] UserID: Unknown, Action: Failed Login, Details: Failed login attempt with username: 1771020498
[2025-06-26 02:55 PM +07] UserID: Unknown, Action: Failed Login, Details: Failed login attempt with username: hoainam1234
[2025-06-26 02:55 PM +07] UserID: Unknown, Action: Failed Login, Details: Failed login attempt with username: hoainam1234
[2025-06-26 02:55 PM +07] UserID: Unknown, Action: Failed Login, Details: Failed login attempt with username: hoainam1234
[2025-06-26 02:58 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 02:58 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 02:58 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 02:58 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 03:03 PM +07] UserID: 1, Action: Access, Details: Accessed homepage
[2025-06-26 03:03 PM +07] UserID: 14, Action: Register, Details: User hoainam1234 registered with encrypted data
[2025-06-26 03:18 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:19 PM +07] UserID: 17, Action: Register, Details: User 1771020498 registered with encrypted data
[2025-06-26 03:19 PM +07] UserID: 17, Action: Login, Details: User 1771020498 logged in
[2025-06-26 03:19 PM +07] UserID: 17, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 03:19 PM +07] UserID: 17, Action: Logout, Details: User 1771020498 logged out
[2025-06-26 03:19 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:19 PM +07] UserID: 1, Action: Login, Details: User admin logged in
[2025-06-26 03:19 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 03:19 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 03:19 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 03:20 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 03:20 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:20 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:20 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:20 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 03:20 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:21 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:21 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:21 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user 1771020498
[2025-06-26 03:23 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user hoainam1234
[2025-06-26 03:23 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user hoainam1234
[2025-06-26 03:23 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user 1771020498
[2025-06-26 03:24 PM +07] UserID: Guest, Action: Access Denied, Details: Attempted to access admin panel without verification
[2025-06-26 03:25 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:25 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:25 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user hoainam1234
[2025-06-26 03:34 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:34 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:34 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:34 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 03:34 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:34 PM +07] UserID: 3, Action: Register, Details: User 1771020498 registered with encrypted data
[2025-06-26 03:34 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:34 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:34 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user 1771020498
[2025-06-26 03:50 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:50 PM +07] UserID: Unknown, Action: Failed Login, Details: Failed login attempt with username: 1771020498
[2025-06-26 03:50 PM +07] UserID: 3, Action: Register, Details: User 1771020498 registered with encrypted data
[2025-06-26 03:51 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:51 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:51 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user 1771020498
[2025-06-26 03:51 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:51 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user 1771020498
[2025-06-26 03:51 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:58 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:59 PM +07] UserID: 3, Action: Login, Details: User 1771020498 logged in
[2025-06-26 03:59 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 03:59 PM +07] UserID: 3, Action: Logout, Details: User 1771020498 logged out
[2025-06-26 03:59 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:59 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 03:59 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:59 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:59 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user 1771020498
[2025-06-26 03:59 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 03:59 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 03:59 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 03:59 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 03:59 PM +07] UserID: 3, Action: Login, Details: User 1771020498 logged in
[2025-06-26 03:59 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 03:59 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 03:59 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
